COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
aspirin	4 day	control	610	13.4	38.6	63.3	22	34.8	6.1	131.3	116.4	9	1	0	2	87	11.6	19.3	221	1093	78	82	152	0.14	0.09	222	15	0.4	140	3.9	100	10.6	7.9	5.8	3.5	1.5	70	39	187	1
aspirin	4 day	control	602	12.7	37.3	61.9	21.1	34.1	6	127.4	101.1	15	1	0	3	80	12	19.7	207	1122	82	174	171	0.15	0.1	225	16	0.4	139	3.8	101	10.7	6.3	5.6	3.2	1.3	58	27	255	1
aspirin	4 day	control	626	13.4	39.3	62.8	21.4	34	6	118	72.1	16	1	0	3	79	12	20.6	218	913	82	108	159	0.12	0.07	185	16	0.4	141	4.3	103	10.7	7.1	5.8	3.2	1.2	62	28	203	1
aspirin	4 day	control	609	12.9	37.8	62.1	21.3	34.2	5.8	113.1	66.4	14	1	0	2	81	12.4	18.6	227	907	70	70	135	0.12	0.07	185	13	0.4	140	3.8	103	10.8	7.2	5.8	3.4	1.4	65	28	244	1
aspirin	4 day	control	653	13.3	39.3	60.2	20.4	33.9	5.6	116.9	136.7	13	1	0	2	83	12.2	18.2	210	817	61	62	127	0.13	0.08	199	14	0.3	142	3.8	104	11.1	7.2	5.6	3.5	1.7	111	56	226	1
aspirin	8 day	control	689	14	41.7	60.6	20.4	33.6	4.9	129.2	91.1	10	1	0	2	87	12.6	23.6	197	706	55	80	116	0.15	0.1	212	16	0.4	142	3.8	103	10.5	8	5.3	3.4	1.8	58	26	155	0
aspirin	8 day	control	603	12.9	37.3	61.7	21.4	34.6	5.8	146.6	184.2	16	1	0	2	81	11.9	19.7	221	1043	87	157	168	0.19	0.14	228	16	0.4	140	3.5	100	10.6	8	5.7	3.5	1.6	62	29	174	1
aspirin	8 day	control	672	14.1	41.5	61.8	20.9	33.8	4.2	137.1	130.4	10	1	0	2	86	12.3	21.7	207	765	61	117	136	0.14	0.09	200	16	0.4	140	3.6	102	10.8	6.9	5.6	3.6	1.8	57	26	147	1
aspirin	8 day	control	638	13.5	40	62.6	21.2	33.8	4.9	111.8	149.7	9	1	0	2	88	12.5	22	221	759	70	76	141	0.11	0.06	200	15	0.4	141	3.8	104	10.7	8.1	5.5	3	1.2	57	35	216	1
aspirin	8 day	control	640	13.9	40.8	63.8	21.7	34.1	6.6	117.5	121.9	10	1	0	2	86	12.5	19	210	949	59	71	126	0.14	0.09	214	16	0.4	142	3.5	103	10.8	7.2	5.5	3.4	1.6	62	30	199	0
aspirin	15 day	control	651	14.1	40.6	62.4	21.6	34.7	3.6	109.9	181.8	9	1	0	2	87	12.2	20.3	210	598	68	182	155	0.16	0.11	215	17	0.5	140	4	102	10.6	6.9	5.7	3.1	1.2	55	30	164	1
aspirin	15 day	control	682	14.1	39.7	58.2	20.6	35.4	2.8	112.4	161.6	13	0	0	2	84	12	19.8	234	755	69	132	144	0.14	0.1	190	18	0.4	142	3.9	105	10.8	6.5	5.8	3.4	1.4	49	34	187	1
aspirin	15 day	control	668	14	39.9	59.7	21	35.1	4.1	106.2	99.2	15	1	0	2	80	12.3	22.6	221	795	70	157	158	0.17	0.13	184	17	0.4	141	3.9	103	10.9	7.6	5.9	3.6	1.6	62	32	259	1
aspirin	15 day	control	684	14.2	40.6	59.3	20.7	34.9	3.6	140.1	96.1	16	1	0	2	81	11.9	19.7	212	858	66	201	155	0.17	0.13	180	21	0.4	141	3.9	103	10.8	7.5	5.7	3.3	1.4	66	35	245	1
aspirin	15 day	control	723	14.5	42.3	58.5	20	34.2	2.7	112	133.6	14	1	0	2	81	12.7	18.4	207	628	66	92	144	0.1	0.06	199	16	0.5	141	3.7	102	10.7	7.5	5.8	3.2	1.2	79	36	246	1
aspirin	29 day	control	793	16	45	56.7	20.2	35.6	1.6	111.4	151.7	10	1	0	1	86	12.3	22.9	207	616	70	104	142	0.18	0.12	210	20	0.5	139	3.8	101	10.3	6.1	6.1	3.7	1.5	71	42	153	1
aspirin	29 day	control	790	15.1	44.1	55.9	19.1	34.2	1.4	103.1	87.2	18	1	0	2	79	13.2	20.3	200	531	46	61	92	0.14	0.08	221	13	0.5	142	3.6	103	9.8	6.4	5.5	3	1.2	64	31	125	1
aspirin	29 day	control	832	16	46.8	56.2	19.2	34.2	2.1	118.5	104.9	14	1	0	2	81	12.7	21.8	202	656	60	117	125	0.15	0.09	230	17	0.5	143	3.8	105	10	7.1	6	3.4	1.3	56	27	193	1
